14323_1#74,0,206,209,209,231,226,210,219,218,211,210,188,189,207,308,308,208,219,218,217,190,206,205,256,256,210,209,196,201,219,10415,21662
14623_3#45,206,0,3,2,100,193,177,186,107,178,177,155,157,179,312,312,170,186,107,184,157,6,5,262,261,82,196,185,189,187,10450,21686
14623_3#84,209,3,0,3,103,196,180,189,110,181,180,158,160,182,315,315,174,189,110,187,160,9,8,265,264,85,199,188,192,190,10447,21683
14623_8#14,209,2,3,0,102,195,179,188,109,180,179,157,159,181,315,315,173,188,109,186,159,8,7,265,264,84,199,188,192,189,10448,21679
8525_1#30,231,100,103,102,0,208,192,201,122,201,192,170,172,203,329,329,186,201,122,199,172,99,98,287,287,102,209,206,210,209,10461,21671
SRR3728389,226,193,196,195,208,0,158,185,184,185,158,130,138,188,314,314,173,185,184,183,138,182,181,282,283,188,197,195,199,154,10521,21825
SRR3728406,210,177,180,179,192,158,0,169,168,169,0,120,100,172,299,299,157,169,168,167,100,166,165,266,267,172,181,179,183,162,10504,21805
SRR3728738,219,186,189,188,201,185,169,0,177,0,169,147,149,1,306,306,166,1,177,0,149,175,174,275,276,181,190,188,192,189,10479,21773
SRR3728739,218,107,110,109,122,184,168,177,0,177,168,145,148,180,306,306,161,177,0,175,148,95,94,274,275,103,189,187,191,188,10510,21817
SRR3728767,211,178,181,180,201,185,169,0,177,0,169,147,149,0,306,306,166,0,177,0,149,175,174,267,268,181,190,188,192,189,10485,21790
SRR3728933,210,177,180,179,192,158,0,169,168,169,0,120,100,172,299,299,157,169,168,167,100,166,165,266,267,172,181,179,183,162,10505,21806
SRR3729130,188,155,158,157,170,130,120,147,145,147,120,0,100,150,277,277,135,147,145,145,100,144,143,244,245,150,159,157,161,132,10469,21767
SRR3729164,189,157,160,159,172,138,100,149,148,149,100,100,0,152,278,278,137,149,148,147,0,146,144,245,246,152,159,157,161,143,10484,21786
SRR3729286,207,179,182,181,203,188,172,1,180,0,172,150,152,0,304,304,169,0,180,1,152,178,177,269,269,184,193,191,195,192,10469,21771
SRR3729326,308,312,315,315,329,314,299,306,306,306,299,277,278,304,0,0,295,306,306,304,279,304,303,141,142,309,297,295,299,318,10241,21450
SRR3729352,308,312,315,315,329,314,299,306,306,306,299,277,278,304,0,0,295,306,306,304,279,304,303,141,142,309,297,295,299,318,10244,21444
SRR3729355,208,170,174,173,186,173,157,166,161,166,157,135,137,169,295,295,0,166,161,164,137,159,158,263,264,162,177,177,181,176,10498,21792
SRR3729433,219,186,189,188,201,185,169,1,177,0,169,147,149,0,306,306,166,0,177,1,149,175,174,275,276,181,190,188,192,189,10480,21780
SRR3730784,218,107,110,109,122,184,168,177,0,177,168,145,148,180,306,306,161,177,0,175,148,95,94,274,275,103,189,187,191,188,10510,21813
SRR3731478,217,184,187,186,199,183,167,0,175,0,167,145,147,1,304,304,164,1,175,0,147,173,172,273,274,179,188,186,190,187,10465,21767
SRR3731543,190,157,160,159,172,138,100,149,148,149,100,100,0,152,279,279,137,149,148,147,0,146,144,246,247,152,160,158,162,143,10468,21778
16870_2#24,206,6,9,8,99,182,166,175,95,175,166,144,146,178,304,304,159,175,95,173,146,0,1,263,263,81,187,185,189,186,10431,21666
16870_2#25,205,5,8,7,98,181,165,174,94,174,165,143,144,177,303,303,158,174,94,172,144,1,0,262,262,79,186,184,188,185,10422,21657
SRR2053944,256,262,265,265,287,282,266,275,274,267,266,244,245,269,141,141,263,275,274,273,246,263,262,0,0,268,265,254,258,276,10424,21595
SRR2054060,256,261,264,264,287,283,267,276,275,268,267,245,246,269,142,142,264,276,275,274,247,263,262,0,0,268,266,254,258,276,10413,21580
ERR1040741,210,82,85,84,102,188,172,181,103,181,172,150,152,184,309,309,162,181,103,179,152,81,79,268,268,0,193,191,195,192,10387,21288
ERR1040855,209,196,199,199,209,197,181,190,189,190,181,159,159,193,297,297,177,190,189,188,160,187,186,265,266,193,0,0,6,199,10472,21752
ERR1040901,196,185,188,188,206,195,179,188,187,188,179,157,157,191,295,295,177,188,187,186,158,185,184,254,254,191,0,0,3,197,10455,21745
ERR1040906,201,189,192,192,210,199,183,192,191,192,183,161,161,195,299,299,181,192,191,190,162,189,188,258,258,195,6,3,0,201,10474,21784
ERR1040911,219,187,190,189,209,154,162,189,188,189,162,132,143,192,318,318,176,189,188,187,143,186,185,276,276,192,199,197,201,0,10365,21491
ERR1040820,10415,10450,10447,10448,10461,10521,10504,10479,10510,10485,10505,10469,10484,10469,10241,10244,10498,10480,10510,10465,10468,10431,10422,10424,10413,10387,10472,10455,10474,10365,0,21740
EMRSA15,21662,21686,21683,21679,21671,21825,21805,21773,21817,21790,21806,21767,21786,21771,21450,21444,21792,21780,21813,21767,21778,21666,21657,21595,21580,21288,21752,21745,21784,21491,21740,0
