14623_7#71,0,68,201,130,258,270,272,265,296,267,271,269,274,271,274,274,270,271,274,274,269,271,269,268,267,259,87,180,198,195,85,205,84,82,87,174,12099,21606
9716_3#66,68,0,203,133,261,273,275,268,299,270,274,272,277,274,277,277,273,274,277,277,272,274,272,271,270,262,89,182,200,197,87,207,86,84,89,176,12097,21599
SRR3728391,201,203,0,153,279,292,294,286,316,289,293,291,294,293,294,294,292,293,294,294,291,293,291,290,288,280,206,199,170,167,203,177,203,200,204,201,12028,21230
SRR3728584,130,133,153,0,65,70,135,69,162,136,138,136,140,138,140,140,138,138,140,140,136,138,136,135,73,67,137,131,149,146,133,157,133,129,126,127,5880,15470
SRR3728644,258,261,279,65,0,141,269,0,293,267,269,267,272,269,272,272,269,269,272,272,267,269,267,266,128,121,264,256,277,274,260,283,261,256,262,252,12097,21615
SRR3729232,270,273,292,70,141,0,279,147,304,278,280,278,283,280,283,283,280,280,283,283,278,280,278,277,149,142,276,268,289,286,272,295,273,268,274,266,12096,21664
SRR3729392,272,275,294,135,269,279,0,275,298,272,274,272,277,274,277,277,274,274,277,277,272,274,272,271,277,270,278,270,291,288,274,297,275,270,276,266,12095,21609
SRR3729498,265,268,286,69,0,147,275,0,299,273,275,273,278,275,278,278,275,275,278,278,273,275,273,272,134,127,271,263,284,281,267,290,268,263,269,259,12115,21633
SRR3731800,296,299,316,162,293,304,298,299,0,106,108,106,111,108,111,111,108,108,111,111,106,108,106,106,301,294,302,294,315,312,298,321,299,294,300,290,12153,21699
SRR5249887,267,270,289,136,267,278,272,273,106,0,2,0,67,2,67,67,2,2,67,67,0,2,0,0,275,268,273,265,287,284,269,293,270,265,271,261,12101,21631
SRR5249967,271,274,293,138,269,280,274,275,108,2,0,2,69,0,69,69,0,0,69,69,2,0,2,2,277,270,277,270,291,288,273,297,274,269,275,266,12115,21652
SRR5249976,269,272,291,136,267,278,272,273,106,0,2,0,67,2,67,67,2,2,67,67,0,2,0,0,275,268,275,268,289,286,271,295,272,267,273,266,12114,21640
SRR5250147,274,277,294,140,272,283,277,278,111,67,69,67,0,69,0,0,69,69,0,0,67,69,67,67,280,273,280,273,294,291,276,300,277,272,278,271,12129,21630
SRR5250163,271,274,293,138,269,280,274,275,108,2,0,2,69,0,69,69,0,0,69,69,2,0,2,2,277,270,277,270,291,288,273,297,274,269,274,264,12089,21587
SRR5250334,274,277,294,140,272,283,277,278,111,67,69,67,0,69,0,0,69,69,0,0,67,69,67,67,280,273,280,273,294,291,276,300,277,272,278,270,12123,21632
SRR5250367,274,277,294,140,272,283,277,278,111,67,69,67,0,69,0,0,69,69,0,0,67,69,67,67,280,273,280,273,294,291,276,300,277,272,278,271,12119,21622
SRR5250488,270,273,292,138,269,280,274,275,108,2,0,2,69,0,69,69,0,0,69,69,2,0,2,2,277,270,276,269,290,287,272,296,273,268,274,267,12098,21627
SRR5250496,271,274,293,138,269,280,274,275,108,2,0,2,69,0,69,69,0,0,69,69,2,0,2,2,277,270,277,270,291,288,273,297,274,269,275,267,12129,21660
SRR5250543,274,277,294,140,272,283,277,278,111,67,69,67,0,69,0,0,69,69,0,0,67,69,67,67,280,273,280,273,294,291,276,300,277,272,272,271,12118,21618
SRR5250556,274,277,294,140,272,283,277,278,111,67,69,67,0,69,0,0,69,69,0,0,67,69,67,67,280,273,280,274,294,291,276,300,277,272,278,270,12126,21628
SRR5250592,269,272,291,136,267,278,272,273,106,0,2,0,67,2,67,67,2,2,67,67,0,2,0,0,275,268,275,268,289,286,271,295,272,267,273,265,12127,21663
SRR5250632,271,274,293,138,269,280,274,275,108,2,0,2,69,0,69,69,0,0,69,69,2,0,2,2,277,270,277,270,291,288,273,297,274,269,275,266,12118,21644
SRR5250813,269,272,291,136,267,278,272,273,106,0,2,0,67,2,67,67,2,2,67,67,0,2,0,0,275,268,275,267,289,286,271,295,272,267,273,266,12126,21662
SRR5251388,268,271,290,135,266,277,271,272,106,0,2,0,67,2,67,67,2,2,67,67,0,2,0,0,274,267,274,266,288,285,270,294,271,266,272,265,12104,21629
SRR2054035,267,270,288,73,128,149,277,134,301,275,277,275,280,277,280,280,277,277,280,280,275,277,275,274,0,0,273,265,286,283,269,292,270,265,270,259,12092,21599
SRR2054104,259,262,280,67,121,142,270,127,294,268,270,268,273,270,273,273,270,270,273,273,268,270,268,267,0,0,265,256,278,275,261,284,262,257,262,251,12081,21589
